C(%);Mn(%);Si(%);S(%);P(%);Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Cr(%);Ni(%);Mo(%);V(ppm);Cu(%);Nb(ppm);Temp;Joule
0.064;0.63;0.3;0.007;0.007;42;2;5;65;456;0.03;0.03;0.005;5;1.05;5;-70;78
0.064;0.63;0.3;0.007;0.007;42;2;5;65;456;0.03;0.03;0.005;5;1.05;5;-60;96
0.068;0.63;0.3;0.007;0.007;100;2;5;63;454;0.03;0.03;0.005;5;1.05;5;-80;29
0.068;0.63;0.3;0.007;0.007;100;2;5;63;454;0.03;0.03;0.005;5;1.05;5;-70;56
0.068;0.63;0.3;0.007;0.007;100;2;5;63;454;0.03;0.03;0.005;5;1.05;5;-60;82
0.067;0.62;0.31;0.006;0.007;180;2;5;72;369;0.03;0.03;0.005;5;1.03;5;-80;24
0.067;0.62;0.31;0.006;0.007;180;2;5;72;369;0.03;0.03;0.005;5;1.03;5;-70;34
0.067;0.62;0.31;0.006;0.007;180;2;5;72;369;0.03;0.03;0.005;5;1.03;5;-60;50
0.07;0.61;0.36;0.006;0.009;290;2;5;65;349;0.03;0.03;0.005;5;1.02;5;-80;26
0.07;0.61;0.36;0.006;0.009;290;2;5;65;349;0.03;0.03;0.005;5;1.02;5;-70;51
0.07;0.61;0.36;0.006;0.009;290;2;5;65;349;0.03;0.03;0.005;5;1.02;5;-60;80
0.066;0.67;0.37;0.006;0.008;51;2;5;55;453;0.03;0.03;0.005;5;1.44;5;-80;21
0.066;0.67;0.37;0.006;0.008;51;2;5;55;453;0.03;0.03;0.005;5;1.44;5;-70;43
0.066;0.67;0.37;0.006;0.008;51;2;5;55;453;0.03;0.03;0.005;5;1.44;5;-60;64
0.069;0.66;0.33;0.006;0.008;108;2;5;61;417;0.03;0.03;0.005;5;1.5;5;-80;6
0.069;0.66;0.33;0.006;0.008;108;2;5;61;417;0.03;0.03;0.005;5;1.5;5;-70;18
0.069;0.66;0.33;0.006;0.008;108;2;5;61;417;0.03;0.03;0.005;5;1.5;5;-60;36
0.069;0.6;0.27;0.006;0.007;140;2;5;62;360;0.03;0.03;0.005;5;1.64;5;-80;9
0.069;0.6;0.27;0.006;0.007;140;2;5;62;360;0.03;0.03;0.005;5;1.64;5;-70;18
